Terraiin,ColCount,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19
0,20,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,10_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5
1,20,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,10_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5
2,20,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5
3,20,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5
4,20,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5
5,20,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,10_5,10_5,10_5,10_5,10_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5
6,20,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,10_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5
7,20,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,10_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5
8,20,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,10_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5
9,20,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,10_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5
10,20,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,10_5,10_5,10_5,10_5,10_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5
11,20,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5
12,20,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5
13,20,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5
